antecedent,consequent_1,consequent_2,confidence_level
'soda',zero calorie cola,,0.23959044368600682
'icelandic style skyr blueberry non-fat yogurt',non fat acai & mixed berries yogurt,,0.22970936490850377
'organic zucchini',organic yellow squash,,0.22732727584433396
'bag of organic bananas',organic hass avocado,organic lemon,0.19321612502219854
'bag of organic bananas',organic hass avocado,organic strawberries,0.19179496808111152
'banana',gala apples,,0.1848779709682565
'banana',asparation/broccolini/baby broccoli,,0.18430592913109578
'organic hass avocado',bag of organic bananas,organic lemon,0.18218352310783656
'banana',organic avocado,organic strawberries,0.18060038734667527
'organic strawberries',organic nectarine,,0.17768972874123742
'banana',xl emerald white seedless grapes,,0.17556109725685787
'banana',large lemon,organic avocado,0.17509727626459143
'banana',organic avocado,organic baby spinach,0.17173458081989412
'bag of organic bananas',organic raspberries,organic strawberries,0.17066876122082586
'banana',large yellow flesh nectarine,,0.16366675237850348
'banana',berry medley,,0.15797257327238504
'banana',frozen broccoli florets,,0.1495789995047053
'banana',large lemon,limes,0.1480619093274894
'banana',orange juice,,0.1475391245180313
'banana',vine ripe tomatoes,,0.14614427860696516
'bag of organic bananas',organic broccoli crowns,,0.14514080033876772
'organic strawberries',bag of organic bananas,organic raspberries,0.1437889960294952
'bag of organic bananas',milk organic vitamin d,,0.14192922927775084
'banana',total 0% greek yogurt,,0.14121438511682413
'bag of organic bananas',organic whole grassmilk milk,,0.1375998003992016
'banana',spinach,,0.13672891907187323
'banana',total 0% nonfat greek yogurt,,0.1350595323483001
'banana',honey nut cheerios,,0.13445017182130584
'bag of organic bananas',organic frozen peas,,0.1337579617834395
'banana',total 2% all natural low fat 2% milkfat greek strained yogurt,,0.13365943945002645
'banana',2% reduced fat organic milk,,0.13342599027102153
'banana',large grapefruit,,0.1333806944321108
'banana',total 2% lowfat plain greek yogurt,,0.13318284424379231
'banana',original no pulp 100% florida orange juice,,0.13186704803235033
'banana',spaghetti,,0.13175102930491644
'banana',icelandic style skyr blueberry non-fat yogurt,,0.13174555321073259
'banana',total 0% nonfat plain greek yogurt,,0.1315270288044193
'banana',organic lowfat 1% milk,,0.13067080263668088
'large lemon',banana,limes,0.12890531838778918
'banana',original veggie straws,,0.12851451337507114
'banana',total 2% all natural plain greek yogurt,,0.1283682201919741
'banana',raisin bran cereal,,0.12818609255134866
'banana',mini original babybel cheese,,0.12809660151873523
'banana',russet potato,,0.12792369005618712
'banana',european cucumber,,0.12779453051887282
'banana',strawberry preserves,,0.12658858709195117
'bag of organic bananas',organic mexican blend finely shredded cheese,,0.12592671044270282
'organic hass avocado',bag of organic bananas,organic strawberries,0.12575403176166441
'banana',pretzel crisps original deli style pretzel crackers,,0.12568107519070104
'banana',whole milk,,0.12525667351129363
'organic strawberries',bag of organic bananas,organic hass avocado,0.1251914945768736
'banana',salted butter,,0.125
'banana',boneless skinless chicken breast,,0.12348523638846219
'banana',2% reduced fat milk,,0.12232575087189632
'banana',green onions,,0.12177568761579022
'banana',cherubs heavenly salad tomatoes,,0.12073513893774182
'banana',sea salt pita chips,,0.1203576341127923
'banana',oven roasted turkey breast,,0.1181079789775442
'bag of organic bananas',organic snipped green beans,,0.11639217420139272
'banana',roasted red pepper hummus,,0.11591443610706686
'organic zucchini',globe eggplant,,0.11584479481158448
'banana',fat free milk,,0.11491618648507072
'banana',organic baby spinach salad,,0.1149014511587611
'banana',original orange juice,,0.11248369523517225
'bag of organic bananas',organic unsalted butter,,0.11150394343214577
'banana',roasted turkey breast,,0.11147433801896045
'banana',organic yams,,0.11138519924098672
'banana',macaroni & cheese,,0.11118486558247594
'banana',chicken & maple breakfast sausage,,0.11064278187565858
'banana',organic low sodium chicken broth,,0.11053596462849131
'bag of organic bananas',organic american cheese singles,,0.11051731509191963
'organic strawberries',bag of organic bananas,organic baby spinach,0.10978936202454917
'organic baby spinach',organic egg whites,,0.10928908091123331
'banana',pure coconut water,,0.10832371155662852
'banana',hass avocado,,0.10811939052389898
'banana',marinara sauce,,0.1070811744386874
'organic avocado',banana,large lemon,0.10371531298976676
'organic avocado',banana,organic baby spinach,0.10323392288906978
'banana',lemonade,,0.1032183241519281
'banana',sour cream,,0.1027566707898922
'organic garlic',organic thyme,,0.10270109824873849
